Question,opt1,opt2,opt3,opt4,correct_ans
What is the farthest planet from the Sun in our Solar System,Venus,Jupiter,Moon,Neptune,Neptune
India is a federal union comprising twenty-eight states and how many union territories,8,5,6,7,8
Which of the following is the capital of Arunachal Pradesh,Itanagar,Imphal,Panaji,Dispur,Itanagar
What is the state flower of Haryana,Rhododendron, Golden Shower,Lotus,Not Declared,Lotus
Which of the following states is not located in the North,Jharkhand,Jammu and Kashmir,Himachal Pradesh,Haryana,Jharkhand
Which is the largest coffee-producing state of India,Kerala,Tamil Nadu,Karnataka,Arunachal Pradesh,Karnataka
In what state is Elephant Falls located,Mizoram,Orissa,Manipur,Meghalaya,Meghalaya
Which state of India celebrates "Hunter Holi" an 800-year tradition,Punjab,Haryana,Uttar Pradesh,Delhi,Haryana
Which city is known as the “summer capital” of Jammu and Kashmir,Jammu,Srinagar,Shimla,Anantnag,Srinagar
Which fruit's seed is on the outside,Strawberry,Mango,Cherry,Pineapple,Strawberry
What is the Capital of Australia,Sydney,Melbourne,Canberra,Perth,Canberra
What is the largest ocean in the world ,Pacific Ocean,Indian Ocean,Arctic Ocean,Atlantic Ocean
Which planet is known as the 'Red Planet,Venus,Jupiter,Mars,Moon,Mars
Who is the Prime Minister of India, Mr.Narendar Modi, Mr. Amit Shah,Mr. Rahul Gandhi,Mr.Yogi Adityanath,Mr.Narendar Modi
